painting,paintingLabel,artist,artistLabel,image,creationDate,artistBirthDate,artistDeathDate,movement,movementLabel
http://www.wikidata.org/entity/Q698219,Giornata buia,http://www.wikidata.org/entity/Q43270,Pieter Bruegel il Vecchio,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Gloomy%20Day%20%28Bruegel%29.jpg,1565-01-01T00:00:00Z,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,,
http://www.wikidata.org/entity/Q698487,Il bacio,http://www.wikidata.org/entity/Q34661,Gustav Klimt,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kiss%20-%20Gustav%20Klimt%20-%20Google%20Cultural%20Institute.jpg,1907-01-01T00:00:00Z,1862-07-14T00:00:00Z,1918-02-06T00:00:00Z,http://www.wikidata.org/entity/Q34636,Art Nouveau
http://www.wikidata.org/entity/Q698993,Ritratto di Jacopo Strada,http://www.wikidata.org/entity/Q47551,Tiziano Vecellio,http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%20Vecellio%2C%20called%20Titian%20-%20Jacopo%20Strada%20-%20Google%20Art%20Project.jpg,1567-01-01T00:00:00Z,1490-01-01T00:00:00Z,1576-09-06T00:00:00Z,http://www.wikidata.org/entity/Q610687,pittura veneta
http://www.wikidata.org/entity/Q656434,Belle Ferronnière,http://www.wikidata.org/entity/Q762,Leonardo da Vinci,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Belle%20Ferroni%C3%A8re%20-%20Google%20Arts.jpg,1495-01-01T00:00:00Z,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,http://www.wikidata.org/entity/Q1404472,rinascimento italiano
http://www.wikidata.org/entity/Q698228,Madonna del Rosario,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%20Merisi%2C%20called%20Caravaggio%20-%20Madonna%20of%20the%20Rosary%20-%20Google%20Art%20Project.jpg,1607-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-07-18T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q698228,Madonna del Rosario,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%20Merisi%2C%20gen.%20Caravaggio%2C%20%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Rosenkranzmadonna%20-%20GG%20147%20-%20Kunsthistorisches%20Museum.jpg,1607-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-07-18T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q617629,Resurrezione di Cristo,http://www.wikidata.org/entity/Q301,El Greco,http://commons.wikimedia.org/wiki/Special:FilePath/Resurreccion%20Prado.jpg,1597-01-01T00:00:00Z,1541-10-01T00:00:00Z,1614-04-07T00:00:00Z,http://www.wikidata.org/entity/Q131808,manierismo
http://www.wikidata.org/entity/Q684935,Giovane donna assopita,http://www.wikidata.org/entity/Q41264,Jan Vermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Vermeer%20young%20women%20sleeping.jpg,1657-01-01T00:00:00Z,1632-10-01T00:00:00Z,1675-12-15T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q634122,Campo di grano con volo di corvi,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,http://commons.wikimedia.org/wiki/Special:FilePath/Korenveld%20met%20kraaien%20-%20s0149V1962%20-%20Van%20Gogh%20Museum.jpg,1890-07-01T00:00:00Z,1853-03-30T00:00:00Z,1890-07-29T00:00:00Z,http://www.wikidata.org/entity/Q166713,post-impressionismo
http://www.wikidata.org/entity/Q663133,I bari,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20%28Michelangelo%20Merisi%29%20-%20The%20Cardsharps%20-%20Google%20Art%20Project.jpg,1594-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-07-18T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q655657,Morte della Vergine,http://www.wikidata.org/entity/Q215251,Hugo van der Goes,http://commons.wikimedia.org/wiki/Special:FilePath/Hugo%20van%20der%20Goes%20-%20The%20Death%20of%20the%20Virgin%20-%20WGA9668.jpg,1475-01-01T00:00:00Z,1440-01-01T00:00:00Z,1482-01-01T00:00:00Z,http://www.wikidata.org/entity/Q443153,primitivi fiamminghi
http://www.wikidata.org/entity/Q686107,Salita al Calvario,http://www.wikidata.org/entity/Q43270,Pieter Bruegel il Vecchio,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20d.%20%C3%84.%20007b.jpg,1564-01-01T00:00:00Z,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,,
